"check","status","filename","bytes","detail"
"json-export","pass","academic-assessment-results.json","2045765",""
"json-exam-protocol","pass","","",""
"json-cefr-explanation","pass","","",""
"json-question-order","pass","","",""
"csv-export","pass","academic-assessment-results.csv","29061",""
"candidate-report-boundary","pass","academic-assessment-candidate-report.html","1793",""
"evaluator-report-boundary","pass","academic-assessment-evaluator-report.html","2642",""
"pdf-print-surface","pass","","",""
